UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
45;5;5;0,75;0,76;0,59;1,08;7,63;8,81;0,28;0,88;0,88;0,7114;0,3131
46;5;5;0,81;0,59;0,62;0,18;9,85;-1,62;0,45;0,0012;0,0012;0,2062;-0,1175
47;5;5;0,8;0,78;0,61;0,93;6,44;2,59;0,94;0,38;0,38;0,2341;-0,1182
48;3;3;0,7;0,71;0,55;0,55;9,48;4,54;0,25;3,83;3,83;1,03;0,3247
49;5;5;0,79;0,67;0,62;0,98;9,53;8,67;0,4;0,15;0,15;4,2;0,4025
50;3;3;0,59;0,59;0,48;0,47;7,5;1,67;0,34;;;2,21;0,781
51;4;4;0,62;0,58;0,51;0,52;7,51;3,69;0,34;3,59;3,59;4,45;0,7913
52;4;4;0,65;0,58;0,48;0,53;8,5;5,68;0,72;6,1;6,1;0,2772;-0,1075
53;5;5;0,77;0,75;0,59;0,59;7,44;3,57;0,39;0,29;0,29;1,12;0,2854
54;5;5;0,83;0,7;0,79;-1,15;6,46;-6,34;0,74;0,38;0,38;0,7447;-0,0352
55;4;4;0,66;0,6;0,5;1,3;9,45;7,59;0,3;0,51;0,51;2,07;0,5627
56;4;4;0,73;0,72;0,57;0,5;6,38;7,68;0,38;0,54;0,54;0,4738;-0,6355
57;5;5;0,83;0,75;0,64;0,63;6,44;1,51;0,77;0,37;0,37;0,9737;-0,2054
58;5;5;0,84;0,62;0,56;1,61;6,47;2,71;0,34;7,73;7,73;2;0,1158
59;4;4;0,66;0,57;0,5;0,19;8,61;-2,66;0,57;1,14;1,14;0,3133;-0,2059
60;3;3;0,73;0,67;0,56;0,44;9,56;4,6;0,36;0,92;0,92;0,5126;0,1766
61;5;5;0,8;0,66;0,78;1,13;7,51;6,61;0,58;1,11;1,11;0,8924;1,1457
62;3;3;0,64;0,67;0,51;0,43;9,44;4,6;0,81;5,83;5,83;0,5086;0,0315
